"27","AIX (ppc)"
"1333","AIX (ppc64)"
"3","DragonFlyBSD (amd64)"
"4","FreeBSD (aarch64)"
"593","FreeBSD (amd64)"
"12","FreeBSD (i386)"
"129","HP-UX (IA64N)"
"11","HP-UX (IA64W)"
"2","HP-UX (PA_RISC2.0)"
"1","HP-UX (PA_RISC2.0W)"
"2","HP-UX (ia64)"
"18260","Linux (aarch64)"
"592563","Linux (amd64)"
"1879","Linux (arm)"
"1","Linux (e2k)"
"2480","Linux (i386)"
"94","Linux (loongarch64)"
"36","Linux (mips64el)"
"9","Linux (ppc)"
"50","Linux (ppc64)"
"553","Linux (ppc64le)"
"85","Linux (riscv64)"
"1","Linux (s390)"
"261","Linux (s390x)"
"23","Linux (sw64)"
"6","Linux (x86)"
"15110","Mac OS X (aarch64)"
"3","Mac OS X (arm64)"
"12081","Mac OS X (x86_64)"
"368638","N/A"
"3","NONSTOP_KERNEL (IA64N)"
"3","NONSTOP_KERNEL (amd64)"
"2","NONSTOP_KERNEL (x86_64N)"
"2","NetBSD (amd64)"
"1","NetBSD (i386)"
"1","OS/400 (ppc)"
"128","OS/400 (ppc64)"
"9","OS400 (ppc64)"
"2","OpenBSD (aarch64)"
"26","OpenBSD (amd64)"
"1","QNX (aarch64)"
"1","QNX (amd64)"
"235","SunOS (amd64)"
"22","SunOS (sparc)"
"511","SunOS (sparcv9)"
"19","SunOS (x86)"
"2","Windows 10 (aarch64)"
"50319","Windows 10 (amd64)"
"2512","Windows 10 (x86)"
"50","Windows 11 (aarch64)"
"38928","Windows 11 (amd64)"
"244","Windows 11 (x86)"
"8","Windows 2003 (amd64)"
"54","Windows 2003 (x86)"
"1653","Windows 7 (amd64)"
"602","Windows 7 (x86)"
"25","Windows 8 (amd64)"
"22","Windows 8 (x86)"
"214","Windows 8.1 (amd64)"
"133","Windows 8.1 (x86)"
"623","Windows NT (unknown) (amd64)"
"327","Windows NT (unknown) (x86)"
"13","Windows Server 2008 (amd64)"
"35","Windows Server 2008 (x86)"
"1240","Windows Server 2008 R2 (amd64)"
"330","Windows Server 2008 R2 (x86)"
"388","Windows Server 2012 (amd64)"
"111","Windows Server 2012 (x86)"
"4786","Windows Server 2012 R2 (amd64)"
"851","Windows Server 2012 R2 (x86)"
"24040","Windows Server 2016 (amd64)"
"1778","Windows Server 2016 (x86)"
"4","Windows Server 2016 Standard (amd64)"
"30875","Windows Server 2019 (amd64)"
"1016","Windows Server 2019 (x86)"
"22907","Windows Server 2022 (amd64)"
"177","Windows Server 2022 (x86)"
"749","Windows Server 2025 (amd64)"
"4","Windows Server version 2009 (amd64)"
"1","Windows XP (amd64)"
"58","Windows XP (x86)"
"37","WindowsServer2016 (amd64)"
"1","ZscalerOS (amd64)"
"239","z/OS (s390x)"
