"29","AIX (ppc)"
"1344","AIX (ppc64)"
"2","DragonFlyBSD (amd64)"
"13","FreeBSD (aarch64)"
"567","FreeBSD (amd64)"
"21","FreeBSD (i386)"
"159","HP-UX (IA64N)"
"32","HP-UX (IA64W)"
"7","HP-UX (PA_RISC2.0)"
"1","HP-UX (PA_RISC2.0W)"
"1","HP-UX (ia64)"
"14651","Linux (aarch64)"
"592091","Linux (amd64)"
"2050","Linux (arm)"
"1","Linux (e2k)"
"2598","Linux (i386)"
"124","Linux (loongarch64)"
"42","Linux (mips64el)"
"7","Linux (ppc)"
"39","Linux (ppc64)"
"494","Linux (ppc64le)"
"62","Linux (riscv64)"
"1","Linux (s390)"
"290","Linux (s390x)"
"60","Linux (sw64)"
"15","Linux (x86)"
"1","Linux (zArch_64)"
"13589","Mac OS X (aarch64)"
"15178","Mac OS X (x86_64)"
"359125","N/A"
"3","NONSTOP_KERNEL (IA64N)"
"3","NONSTOP_KERNEL (amd64)"
"9","NONSTOP_KERNEL (x86_64N)"
"1","NetBSD (amd64)"
"6","OS/400 (ppc)"
"102","OS/400 (ppc64)"
"8","OS400 (ppc64)"
"3","OpenBSD (aarch64)"
"22","OpenBSD (amd64)"
"261","SunOS (amd64)"
"36","SunOS (sparc)"
"582","SunOS (sparcv9)"
"50","SunOS (x86)"
"60893","Windows 10 (amd64)"
"3552","Windows 10 (x86)"
"36","Windows 11 (aarch64)"
"20927","Windows 11 (amd64)"
"281","Windows 11 (x86)"
"7","Windows 2003 (amd64)"
"79","Windows 2003 (x86)"
"1952","Windows 7 (amd64)"
"754","Windows 7 (x86)"
"40","Windows 8 (amd64)"
"21","Windows 8 (x86)"
"257","Windows 8.1 (amd64)"
"149","Windows 8.1 (x86)"
"906","Windows NT (unknown) (amd64)"
"350","Windows NT (unknown) (x86)"
"16","Windows Server 2008 (amd64)"
"46","Windows Server 2008 (x86)"
"1477","Windows Server 2008 R2 (amd64)"
"444","Windows Server 2008 R2 (x86)"
"437","Windows Server 2012 (amd64)"
"145","Windows Server 2012 (x86)"
"6368","Windows Server 2012 R2 (amd64)"
"1137","Windows Server 2012 R2 (x86)"
"25809","Windows Server 2016 (amd64)"
"2280","Windows Server 2016 (x86)"
"4","Windows Server 2016 Standard (amd64)"
"34405","Windows Server 2019 (amd64)"
"1284","Windows Server 2019 (x86)"
"1","Windows Server 2022 (aarch64)"
"17781","Windows Server 2022 (amd64)"
"236","Windows Server 2022 (x86)"
"9","Windows Server 2025 (amd64)"
"26","Windows Server version 2009 (amd64)"
"19","Windows Vista (x86)"
"1","Windows XP (amd64)"
"72","Windows XP (x86)"
"257","z/OS (s390x)"
