"HP-UX (PA_RISC2.0W)","1"
"HP-UX (ia64)","1"
"Linux (e2k)","1"
"MidnightBSD (i386)","1"
"NetBSD (i386)","1"
"OS/400 (ppc)","1"
"OpenBSD (aarch64)","1"
"OpenBSD (i386)","1"
"Windows Server 2022 (aarch64)","1"
"Windows XP (amd64)","1"
"MidnightBSD (amd64)","2"
"NONSTOP_KERNEL (x86_64N)","2"
"NetBSD (amd64)","2"
"NONSTOP_KERNEL (IA64N)","3"
"Windows Server 2016 Standard (amd64)","4"
"FreeBSD (i386)","6"
"NONSTOP_KERNEL (amd64)","6"
"HP-UX (PA_RISC2.0)","7"
"Linux (ppc)","8"
"OS400 (ppc64)","8"
"Windows 2003 (amd64)","9"
"FreeBSD (aarch64)","13"
"Linux (x86)","15"
"AIX (ppc)","19"
"Windows Server version 2009 (amd64)","19"
"Windows Vista (x86)","19"
"OpenBSD (amd64)","25"
"Windows 11 (aarch64)","25"
"HP-UX (IA64W)","31"
"SunOS (sparc)","31"
"Windows 8 (x86)","31"
"Linux (mips64el)","32"
"SunOS (x86)","42"
"Linux (ppc64)","44"
"Windows Server 2008 (x86)","48"
"Windows 8 (amd64)","52"
"Linux (riscv64)","55"
"Linux (sw64)","56"
"Windows Server 2008 (amd64)","62"
"Windows 2003 (x86)","69"
"Windows XP (x86)","74"
"OS/400 (ppc64)","126"
"Linux (loongarch64)","137"
"Windows Server 2012 (x86)","143"
"HP-UX (IA64N)","145"
"Windows 8.1 (x86)","187"
"z/OS (s390x)","223"
"Windows Server 2022 (x86)","249"
"Windows 8.1 (amd64)","251"
"SunOS (amd64)","255"
"Windows 11 (x86)","284"
"Linux (s390x)","287"
"Windows NT (unknown) (x86)","333"
"Windows Server 2008 R2 (x86)","417"
"Linux (ppc64le)","491"
"SunOS (sparcv9)","529"
"FreeBSD (amd64)","584"
"Windows Server 2012 (amd64)","722"
"Windows 7 (x86)","797"
"Windows NT (unknown) (amd64)","956"
"Windows Server 2012 R2 (x86)","1128"
"Windows Server 2019 (x86)","1297"
"AIX (ppc64)","1447"
"Windows Server 2008 R2 (amd64)","1513"
"Linux (arm)","1992"
"Windows 7 (amd64)","2071"
"Windows Server 2016 (x86)","2284"
"Linux (i386)","2730"
"Windows 10 (x86)","3639"
"Windows Server 2012 R2 (amd64)","6536"
"Mac OS X (aarch64)","12541"
"Linux (aarch64)","14343"
"Mac OS X (x86_64)","15077"
"Windows Server 2022 (amd64)","15928"
"Windows 11 (amd64)","20321"
"Windows Server 2016 (amd64)","28454"
"Windows Server 2019 (amd64)","33080"
"Windows 10 (amd64)","61186"
"N/A","356945"
"Linux (amd64)","575484"
