"Darwin (ppc)","1"
"HP-UX (PA_RISC2.0W)","1"
"Linux (e2k)","1"
"Linux (s390)","1"
"NetBSD (i386)","1"
"OS/400 (ppc)","1"
"QNX (aarch64)","1"
"QNX (amd64)","1"
"Windows 10 (aarch64)","1"
"Windows Server 2025 (x86)","1"
"HP-UX (ia64)","2"
"DragonFlyBSD (amd64)","3"
"Mac OS X (arm64)","3"
"NONSTOP_KERNEL (IA64N)","3"
"NetBSD (amd64)","4"
"OpenBSD (aarch64)","4"
"Windows Server 2016 Standard (amd64)","4"
"FreeBSD (aarch64)","5"
"HP-UX (PA_RISC2.0)","5"
"NONSTOP_KERNEL (amd64)","6"
"Linux (ppc)","8"
"OS400 (ppc64)","8"
"NONSTOP_KERNEL (x86_64N)","10"
"HP-UX (IA64W)","11"
"Windows 2003 (amd64)","11"
"Linux (x86)","16"
"Windows Server 2008 (amd64)","16"
"Windows Server version 2009 (amd64)","20"
"Windows 8 (x86)","22"
"AIX (ppc)","23"
"OpenBSD (amd64)","26"
"Windows Vista (x86)","26"
"SunOS (sparc)","27"
"FreeBSD (i386)","28"
"Linux (mips64el)","36"
"Windows 11 (aarch64)","37"
"Windows 8 (amd64)","38"
"Windows Server 2008 (x86)","38"
"Linux (ppc64)","44"
"SunOS (x86)","44"
"Linux (sw64)","65"
"Windows XP (x86)","69"
"Windows 2003 (x86)","72"
"Linux (loongarch64)","113"
"OS/400 (ppc64)","115"
"Windows Server 2025 (amd64)","127"
"Windows Server 2012 (x86)","135"
"HP-UX (IA64N)","140"
"Windows 8.1 (x86)","169"
"Linux (riscv64)","208"
"Windows Server 2022 (x86)","211"
"Windows 8.1 (amd64)","243"
"SunOS (amd64)","264"
"z/OS (s390x)","285"
"Windows 11 (x86)","324"
"Linux (s390x)","333"
"Windows Server 2008 R2 (x86)","393"
"Windows NT (unknown) (x86)","418"
"Linux (ppc64le)","544"
"SunOS (sparcv9)","589"
"FreeBSD (amd64)","590"
"Windows Server 2012 (amd64)","677"
"Windows 7 (x86)","716"
"Windows Server 2019 (x86)","767"
"Windows NT (unknown) (amd64)","803"
"Windows Server 2012 R2 (x86)","1061"
"AIX (ppc64)","1305"
"Windows Server 2008 R2 (amd64)","1461"
"Windows 7 (amd64)","1834"
"Linux (arm)","1951"
"Windows Server 2016 (x86)","2108"
"Linux (i386)","2628"
"Windows 10 (x86)","3333"
"Windows Server 2012 R2 (amd64)","5626"
"Mac OS X (aarch64)","14023"
"Mac OS X (x86_64)","14259"
"Linux (aarch64)","15974"
"Windows Server 2022 (amd64)","20586"
"Windows 11 (amd64)","25868"
"Windows Server 2016 (amd64)","26011"
"Windows Server 2019 (amd64)","32399"
"Windows 10 (amd64)","62727"
"N/A","374881"
"Linux (amd64)","600081"
