"com-github-mjdetullio-jenkins-plugins-multibranch-IvyMultiBranchProject","1"
"org-jenkinsci-plugins-jobexecutors-toplevelitems-StoreVersion","1"
"com-google-jenkins-plugins-dsl-YamlProject","2"
"org-jenkinsci-plugins-jobexecutors-toplevelitems-PortalNotifier","2"
"org-jenkinsci-plugins-drupal-projects-DrupalProject","3"
"org-jvnet-hudson-plugins-ade-project-IfarmProject","8"
"com-barchart-jenkins-cascade-CascadeProject","19"
"com-github-mjdetullio-jenkins-plugins-multibranch-MatrixMultiBranchProject","22"
"hudson-plugin-smartjob-SmartJob","56"
"captmorgan-ExternalProject","162"
"com-github-mjdetullio-jenkins-plugins-multibranch-MavenMultiBranchProject","281"
"org-jenkinsci-plugins-coordinator-model-CoordinatorProject","501"
"org-jenkinsci-plugins-jobgenerator-JobGenerator","715"
"com-github-mjdetullio-jenkins-plugins-multibranch-FreeStyleMultiBranchProject","819"
"hudson-ivy-IvyModuleSet","1802"
"hudson-model-ExternalJob","4624"
"hudson-plugins-project_inheritance-projects-InheritanceProject","5165"
"com-cloudbees-plugins-flow-BuildFlow","9042"
"org-jenkinsci-plugins-pipeline-multibranch-defaults-PipelineMultiBranchDefaultsProject","19309"
"jenkins-branch-OrganizationFolder","55927"
"hudson-matrix-MatrixProject","220352"
"com-tikal-jenkins-plugins-multijob-MultiJobProject","675206"
"hudson-maven-MavenModuleSet","1769408"
"org-jenkinsci-plugins-workflow-multibranch-WorkflowMultiBranchProject","2106274"
"com-cloudbees-hudson-plugins-folder-Folder","3224204"
"hudson-model-FreeStyleProject","20045934"
"org-jenkinsci-plugins-workflow-job-WorkflowJob","55456864"
